ID,카테고리,대상_보행약자,물리_장벽_허용_한계,상세_기준_및_행동_요령
BF_001,수동휠체어_단독,수동 휠체어 이용자 (동반자 없음),"최대 허용 문턱 높이 1.5cm 이하, 최대 허용 보행로 경사도 4.7도 이하","아스팔트, 우레탄, 평탄 대리석 노면을 선호하며 자갈길, 잔디밭, 경복궁 박석 등의 노면은 기피해야 합니다. 주출입구 무단차와 엘리베이터, 장애인 화장실이 필수로 동선에 배치되어야 합니다."
BF_002,수동휠체어_동반,수동 휠체어 이용자 (보호자 동행),"최대 허용 문턱 높이 2.0cm 이하, 최대 허용 보행로 경사도 8.1도 이하","보호자가 밀어줄 수 있으므로 약간의 자갈길과 잔디밭 노면은 허용되나, 보호자 동반 진입을 위해 진입로 폭이 최소 1.2m 이상 확보되어야 합니다."
BF_003,전동휠체어,전동 휠체어 및 전동 스쿠터 이용자,"최대 허용 문턱 높이 2.0cm 이하, 최대 허용 보행로 경사도 8.1도 이하","진흙길, 모래사장 등 바퀴가 빠지는 노면은 진입 불가하며, 배터리 방전을 대비한 전동 휠체어 급속 충전기 위치(예: 안녕인사동, 대한민국역사박물관) 및 장애인 엘리베이터 탑승 가능 여부가 핵심입니다."
BF_004,유모차_동반,유모차 동반 가족,"최대 허용 문턱 높이 3.0cm 이하, 최대 허용 보행로 경사도 10.0도 이하","바퀴 완충 노면을 선호하며 계단이 많은 곳은 제한됩니다. 기저귀 교환대, 수유실, 유모차 무료 대여소(서울공예박물관 10대, 대한민국역사박물관 등)가 위치한 관광지를 최우선으로 제안합니다."
BF_005,실버세대,고령층 및 실버 세대 관광객,"무단차 보행로 권장, 최대 허용 경사도 12.0도 이하","계단이 많은 오르막길이나 미끄러운 타일 노면은 제한되며, 보행 강도를 조절하기 위해 코스 내 15분 간격의 간이 쉼터(벤치/의자) 및 공공 화장실 배치 여부가 중요합니다."
BF_006,시각장애인,시각장애인 및 저시력 관광객,"점자 블록 및 음성 유도기 안내 필수, 유도 동선 확보","단독 보행 시 계단/에스컬레이터 진입 전 점자 블록 설치 여부를 확인합니다. 오디오 가이드 기기 대여소 및 전문 문화 해설사 동행 투어가 가능한 경복궁, 창덕궁 코스를 최우선 배정합니다."
BF_007,청각장애인,청각장애인 및 난청 관광객,"수어 해설 서비스 및 자막/시각 비상벨 규격 충족","대화면 전시 자막 및 수어 스마트 기기를 제공하는 대한민국역사박물관 및 MMCA 실내 코스를 선호합니다. 비상시 피난을 위한 시각 경보등(경광등) 유무 확인이 동선 배치 시 필수입니다."
BF_008,임산부_배려,임산부 및 태아 안전 관리 필요군,"30분 이상 연속 보행 금지, 무단차 및 엘리베이터 필수","급작스러운 계단이나 에스컬레이터 탑승을 차단하고 엘리베이터를 이용한 보행 평탄로 중심의 동선을 짭니다. 모성 보호 휴게 공간(수유실, 기저귀 교환대) 및 비상 의료실이 완비된 지점이 동선에 필수 포함되어야 합니다."
WE_001,자외선_주의,자외선 민감군 및 피부 취약층,자외선 지수 6 이상 7 이하 (높음 단계),오전 11시 ~ 오후 3시 사이 직사광선이 내리쬐는 야외 코스는 자제하고 미술관/박물관 실내 관람 일정으로 우회 스케줄링을 처방해야 합니다.
WE_002,자외선_위험,보행 약자 및 고령층 전체,자외선 지수 8 이상 (매우높음 및 위험 단계),낮 시간대 야외 활동을 전면 금지하며 청계천 도보길과 경복궁 야외 관람 코스는 전면 삭제하고 MMCA 서울 실내 관람 또는 차량 동선으로 대체해야 합니다.
WE_003,체감온도_폭염,고령층 실버 세대 및 열사병 고위험군,체감온도 32도 이상,야외에서 15분 이상 지속 보행이 불가하며 지면 반사열에 취약합니다. 동선 중간마다 냉방과 휴게실이 완비된 대형 복합몰(디타워 안녕인사동 등) 휴식을 최소 1시간 이상 필수로 강제 배치합니다.
WE_004,미세먼지_위험,호흡기 질환자 및 보행 노약자 전체,초미세먼지(PM2.5) 75 ㎍/㎥ 이상 (매우나쁨),야외 전통 명소 일정을 100% 취소하고 공기 정화 환기 시스템이 고성능으로 갖춰진 대형 국공립 미술관 및 박물관 실내 동선으로 100% 자동 우회 조치합니다.
WE_005,한파_위험,한랭 질환 고위험군 및 실버 세대,체감온도 영하 10도 이하,야외 노출 시간은 최대 10분 미만으로 극히 제한합니다. 온풍기 설치 온쉼터 및 지하 연결 통로가 완비된 실내 관광 명소로 코스를 자동 대체하여 저체온증 및 한랭 사고를 사전에 완벽히 차단합니다.
WE_006,강우강설_주의,휠체어 및 보행기 이용자 전체,강수확률 70% 이상 또는 강설량 2cm 이상,"노면 젖음 및 결빙 시 바퀴 미끄러짐과 전도 사고 위험이 극도로 상승합니다. 야외 경사로 및 자갈길 이동 동선을 완전 폐쇄하고, 비가림막(캐노피) 및 지하 아케이드 보행로로 동선을 전면 치환합니다."
